Year,TotalCount
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,2345
1907,40199
1908,54471
1909,49802
1910,86984
1911,59171
1912,64773
1913,111431
1914,56440
1915,93579
1916,147953
1917,152486
1918,151376
1919,85058
1920,194831
1921,95498
1922,139431
1923,271148
1924,101335
1925,75007
1926,163766
1927,134222
1928,608656
1929,432510
1930,496853
1931,541293
1932,514550
1933,491809
1934,864467
1935,924876
1936,347150
1937,364059
1938,993418
1939,439778
1940,337753
1941,956856
1942,577718
1943,699890
1944,625240
1945,158416
1946,822680
1947,245898
1948,617544
1949,603954
1950,319391
1951,506828
1952,728439
1953,508340
1954,683460
1955,529252
1956,622053
1957,458143
1958,700645
1959,374106
1960,431011
1961,408052
1962,474394
1963,329456
1964,400873
1965,254830
1966,189604
1967,58104
1968,18738
1969,18348
1970,42939
1971,66981
1972,29385
1973,23500
1974,19481
1975,21916
1976,35525
1977,47606
1978,23670
1979,10781
1980,10915
1981,2524
1982,1432
1983,917
1984,1948
1985,2023
1986,4399
1987,2518
1988,2588
1989,9557
1990,15570
1991,5589
1992,1545
1993,172
1994,536
1995,135
1996,353
1997,78
1998,41
1999,35
2000,38
2001,77
2002,0
2003,0
2004,0
2005,0
2006,0
