Year,State,TotalCount,pop1000,rate
1906,CALIFORNIA,224,1976,0.11336032388663968
1906,CONNECTICUT,23,1033,0.022265246853823813
1906,FLORIDA,4,628,0.006369426751592357
1906,ILLINOIS,187,5309,0.035223205876812956
1906,INDIANA,20,2663,0.007510326699211416
1906,KENTUCKY,2,2234,8.952551477170994e-4
1906,MAINE,26,729,0.03566529492455418
1906,MASSACHUSETTS,282,3107,0.09076279369166398
1906,MICHIGAN,320,2626,0.12185833968012186
1906,MISSOURI,274,3223,0.08501396214706795
1906,NEW HAMPSHIRE,3,415,0.007228915662650603
1906,NEW JERSEY,12,2239,0.005359535506922733
1906,NEW YORK,49,8289,0.005911448908191579
1906,OHIO,466,4587,0.10159145410943972
1906,PENNSYLVANIA,409,7110,0.05752461322081575
1906,RHODE ISLAND,2,492,0.0040650406504065045
1906,TENNESSEE,4,2136,0.0018726591760299626
1906,TEXAS,1,3546,2.820078962210942e-4
1906,VERMONT,1,355,0.0028169014084507044
1906,WASHINGTON,10,904,0.011061946902654867
1906,WISCONSIN,26,2250,0.011555555555555555
1907,CALIFORNIA,1236,2054,0.6017526777020448
1907,CONNECTICUT,106,1057,0.10028382213812677
1907,FLORIDA,24,645,0.037209302325581395
1907,GEORGIA,136,2505,0.05429141716566866
1907,ILLINOIS,3422,5384,0.6355869242199108
1907,INDIANA,10446,2679,3.8992161254199327
1907,IOWA,473,2217,0.2133513757329725
1907,KANSAS,1423,1612,0.8827543424317618
1907,KENTUCKY,451,2249,0.200533570475767
1907,LOUISIANA,17,1579,0.010766307789740342
1907,MAINE,139,731,0.19015047879616964
1907,MASSACHUSETTS,4514,3183,1.4181589695256047
1907,MICHIGAN,1235,2693,0.4585963609357594
1907,MINNESOTA,61,1995,0.030576441102756893
1907,MISSISSIPPI,9,1728,0.005208333333333333
1907,MISSOURI,733,3242,0.22609500308451574
1907,MONTANA,39,332,0.11746987951807229
1907,NEBRASKA,309,1149,0.2689295039164491
1907,NEW HAMPSHIRE,985,423,2.3286052009456264
1907,NEW JERSEY,475,2314,0.2052722558340536
1907,NEW YORK,1178,8499,0.1386045417107895
1907,NORTH CAROLINA,273,2105,0.12969121140142517
1907,OHIO,5015,4630,1.0831533477321815
1907,OKLAHOMA,1,1414,7.072135785007072e-4
1907,OREGON,2,580,0.0034482758620689655
1907,PENNSYLVANIA,4951,7253,0.6826140907210809
1907,RHODE ISLAND,3,505,0.005940594059405941
1907,SOUTH CAROLINA,2,1468,0.0013623978201634877
1907,SOUTH DAKOTA,1,498,0.002008032128514056
1907,TENNESSEE,938,2136,0.43913857677902624
1907,TEXAS,108,3636,0.0297029702970297
1907,VERMONT,5,355,0.014084507042253521
1907,VIRGINIA,430,1952,0.22028688524590165
1907,WASHINGTON,802,967,0.8293691830403309
1907,WEST VIRGINIA,27,1149,0.02349869451697128
1907,WISCONSIN,230,2268,0.10141093474426807
1908,CALIFORNIA,2273,2161,1.051827857473392
1908,CONNECTICUT,365,1077,0.33890436397400187
1908,FLORIDA,34,684,0.049707602339181284
1908,GEORGIA,206,2543,0.08100668501769563
1908,ILLINOIS,7054,5474,1.288637194008038
1908,INDIANA,1482,2677,0.5536047814717968
1908,IOWA,597,2220,0.2689189189189189
1908,KANSAS,168,1629,0.10313075506445672
1908,KENTUCKY,225,2263,0.09942554131683606
1908,MAINE,28,735,0.0380952380952381
1908,MASSACHUSETTS,15262,3251,4.694555521378038
1908,MICHIGAN,1973,2722,0.724834680382072
1908,MINNESOTA,40,2020,0.019801980198019802
1908,MISSOURI,330,3260,0.10122699386503067
1908,MONTANA,48,346,0.13872832369942195
1908,NEBRASKA,158,1161,0.13608957795004306
1908,NEW HAMPSHIRE,68,428,0.1588785046728972
1908,NEW JERSEY,2787,2403,1.15980024968789
1908,NEW YORK,1424,8714,0.16341519394078494
1908,NORTH CAROLINA,62,2142,0.028944911297852476
1908,OHIO,4611,4677,0.9858883899935856
1908,OREGON,11,610,0.018032786885245903
1908,PENNSYLVANIA,13249,7398,1.7908894295755609
1908,RHODE ISLAND,6,519,0.011560693641618497
1908,SOUTH CAROLINA,43,1485,0.028956228956228958
1908,SOUTH DAKOTA,2,527,0.003795066413662239
1908,TENNESSEE,539,2164,0.24907578558225507
1908,TEXAS,161,3727,0.04319828280118057
1908,VERMONT,8,354,0.022598870056497175
1908,VIRGINIA,328,1994,0.16449348044132397
1908,WASHINGTON,200,1028,0.19455252918287938
1908,WISCONSIN,729,2292,0.3180628272251309
1909,ALABAMA,1,2108,4.743833017077799e-4
1909,CALIFORNIA,2552,2282,1.1183172655565294
1909,CONNECTICUT,122,1097,0.11121239744758432
1909,FLORIDA,3,724,0.004143646408839779
1909,GEORGIA,2,2580,7.751937984496124e-4
1909,ILLINOIS,9680,5567,1.7388180348482127
1909,INDIANA,2370,2678,0.8849887976101568
1909,IOWA,55,2223,0.024741340530814216
1909,KANSAS,834,1658,0.503015681544029
1909,KENTUCKY,20,2278,0.00877963125548727
1909,LOUISIANA,78,1634,0.04773561811505508
1909,MAINE,145,740,0.19594594594594594
1909,MARYLAND,13,1289,0.01008533747090768
1909,MASSACHUSETTS,9254,3316,2.790711700844391
1909,MICHIGAN,713,2771,0.2573078311079033
1909,MISSISSIPPI,1,1777,5.627462014631402e-4
1909,MISSOURI,332,3279,0.10125038121378468
1909,MONTANA,22,363,0.06060606060606061
1909,NEBRASKA,88,1177,0.07476635514018691
1909,NEW HAMPSHIRE,1871,431,4.341067285382831
1909,NEW JERSEY,2046,2487,0.8226779252110977
1909,NEW YORK,1422,8935,0.1591494124230554
1909,NORTH CAROLINA,282,2174,0.1297148114075437
1909,OHIO,3838,4701,0.8164220378642842
1909,PENNSYLVANIA,10787,7546,1.4294990723562153
1909,RHODE ISLAND,1,532,0.0018796992481203006
1909,SOUTH CAROLINA,58,1502,0.03861517976031957
1909,TENNESSEE,249,2177,0.11437758383096004
1909,TEXAS,10,3821,0.0026171159382360636
1909,VERMONT,16,356,0.0449438202247191
1909,VIRGINIA,50,2038,0.02453385672227674
1909,WASHINGTON,909,1091,0.8331805682859762
1909,WEST VIRGINIA,163,1203,0.13549459684123025
1909,WISCONSIN,1815,2317,0.7833405265429435
1910,ALABAMA,606,2150,0.28186046511627905
1910,ARKANSAS,1,1583,6.317119393556538e-4
1910,CALIFORNIA,8758,2406,3.6400665004156276
1910,COLORADO,13,804,0.01616915422885572
1910,CONNECTICUT,302,1122,0.26916221033868093
1910,FLORIDA,25,756,0.03306878306878307
1910,ILLINOIS,11582,5668,2.0434015525758644
1910,INDIANA,9668,2713,3.5635827497235533
1910,IOWA,1,2228,4.488330341113106e-4
1910,KANSAS,1159,1692,0.6849881796690307
1910,KENTUCKY,937,2299,0.407568508046977
1910,LOUISIANA,2470,1667,1.4817036592681463
1910,MAINE,87,745,0.11677852348993288
1910,MARYLAND,1,1302,7.680491551459293e-4
1910,MASSACHUSETTS,12122,3365,3.6023774145616643
1910,MICHIGAN,2091,2832,0.7383474576271186
1910,MISSOURI,2059,3301,0.6237503786731293
1910,MONTANA,21,380,0.05526315789473684
1910,NEBRASKA,100,1198,0.08347245409015025
1910,NEW HAMPSHIRE,253,431,0.5870069605568445
1910,NEW JERSEY,1543,2550,0.6050980392156863
1910,NEW YORK,6673,9137,0.7303272408886943
1910,NORTH CAROLINA,244,2221,0.10986042323277803
1910,OHIO,9784,4786,2.044295862933556
1910,OKLAHOMA,137,1671,0.0819868342309994
1910,PENNSYLVANIA,12471,7706,1.6183493381780432
1910,TENNESSEE,337,2191,0.1538110451848471
1910,TEXAS,49,3922,0.012493625701172871
1910,UTAH,84,377,0.22281167108753316
1910,VIRGINIA,209,2071,0.10091743119266056
1910,WASHINGTON,1136,1148,0.9895470383275261
1910,WEST VIRGINIA,88,1231,0.07148659626320066
1910,WISCONSIN,1973,2345,0.8413646055437101
1911,ALABAMA,587,2185,0.26864988558352404
1911,CALIFORNIA,2679,2534,1.0572217837411209
1911,COLORADO,1359,821,1.6552984165651645
1911,CONNECTICUT,504,1149,0.4386422976501306
1911,FLORIDA,261,773,0.33764553686934023
1911,ILLINOIS,6977,5757,1.2119159284349488
1911,INDIANA,1153,2751,0.41912031988367865
1911,IOWA,11,2249,0.004891062694530902
1911,KANSAS,353,1684,0.20961995249406176
1911,KENTUCKY,289,2324,0.12435456110154905
1911,LOUISIANA,2298,1695,1.3557522123893806
1911,MAINE,34,751,0.045272969374167776
1911,MARYLAND,6,1324,0.004531722054380665
1911,MASSACHUSETTS,9761,3383,2.885308897428318
1911,MICHIGAN,2526,2916,0.8662551440329218
1911,MISSOURI,145,3317,0.043714199577931864
1911,MONTANA,10,397,0.02518891687657431
1911,NEBRASKA,71,1216,0.05838815789473684
1911,NEW HAMPSHIRE,490,432,1.1342592592592593
1911,NEW JERSEY,1795,2610,0.6877394636015326
1911,NEW YORK,2815,9249,0.30435722780841173
1911,NORTH CAROLINA,8,2276,0.0035149384885764497
1911,OHIO,3034,4821,0.6293300145198092
1911,OKLAHOMA,143,1714,0.08343057176196032
1911,PENNSYLVANIA,15198,7850,1.9360509554140128
1911,TENNESSEE,1224,2197,0.5571233500227583
1911,TEXAS,96,4016,0.02390438247011952
1911,UTAH,548,387,1.4160206718346253
1911,VERMONT,45,358,0.12569832402234637
1911,VIRGINIA,808,2092,0.3862332695984704
1911,WASHINGTON,2602,1167,2.229648671808055
1911,WEST VIRGINIA,398,1266,0.31437598736176936
1911,WISCONSIN,943,2369,0.39805825242718446
1912,ALABAMA,109,2217,0.04916553901668922
1912,ARKANSAS,3,1636,0.0018337408312958435
1912,CALIFORNIA,3772,2668,1.4137931034482758
1912,COLORADO,47,832,0.056490384615384616
1912,CONNECTICUT,636,1176,0.5408163265306123
1912,FLORIDA,37,801,0.046192259675405745
1912,ILLINOIS,6862,5828,1.1774193548387097
1912,INDIANA,256,2785,0.09192100538599642
1912,IOWA,1,2279,4.3878894251864854e-4
1912,KANSAS,46,1671,0.02752842609216038
1912,KENTUCKY,129,2347,0.05496378355347252
1912,LOUISIANA,327,1709,0.19133996489174956
1912,MAINE,4,753,0.005312084993359893
1912,MARYLAND,476,1345,0.35390334572490706
1912,MASSACHUSETTS,15375,3440,4.469476744186046
1912,MICHIGAN,378,2997,0.12612612612612611
1912,MISSOURI,113,3344,0.03379186602870814
1912,MONTANA,5,414,0.012077294685990338
1912,NEBRASKA,33,1232,0.026785714285714284
1912,NEW HAMPSHIRE,563,434,1.2972350230414746
1912,NEW JERSEY,3109,2670,1.1644194756554307
1912,NEW YORK,4643,9361,0.49599401773314816
1912,NORTH CAROLINA,125,2313,0.054042369217466496
1912,OHIO,8479,4893,1.732883711424484
1912,OKLAHOMA,15,1737,0.008635578583765112
1912,PENNSYLVANIA,13305,7986,1.6660405709992487
1912,SOUTH CAROLINA,1,1572,6.361323155216285e-4
1912,TENNESSEE,97,2218,0.043733092876465283
1912,TEXAS,158,4107,0.0384709033357682
1912,VERMONT,404,359,1.1253481894150419
1912,VIRGINIA,1662,2122,0.7832233741753063
1912,WASHINGTON,963,1184,0.8133445945945946
1912,WEST VIRGINIA,211,1291,0.16343919442292795
1912,WISCONSIN,2429,2407,1.0091400083090984
1913,ALABAMA,7,2279,0.00307152259763054
1913,ARKANSAS,35,1664,0.021033653846153848
1913,CALIFORNIA,6759,2811,2.4044823906083246
1913,COLORADO,15,835,0.017964071856287425
1913,CONNECTICUT,787,1208,0.6514900662251656
1913,GEORGIA,3,2733,0.0010976948408342481
1913,ILLINOIS,15556,5961,2.6096292568361013
1913,INDIANA,1472,2824,0.5212464589235127
1913,IOWA,195,2305,0.08459869848156182
1913,KANSAS,813,1663,0.4888755261575466
1913,KENTUCKY,182,2374,0.07666385846672283
1913,LOUISIANA,4555,1727,2.637521713954835
1913,MAINE,7,763,0.009174311926605505
1913,MARYLAND,289,1368,0.21125730994152048
1913,MASSACHUSETTS,17459,3534,4.94029428409734
1913,MICHIGAN,2705,3101,0.872299258303773
1913,MINNESOTA,42,2190,0.019178082191780823
1913,MISSOURI,2013,3409,0.5904957465532414
1913,MONTANA,17,433,0.03926096997690531
1913,NEBRASKA,10,1246,0.008025682182985553
1913,NEW HAMPSHIRE,1186,439,2.701594533029613
1913,NEW JERSEY,7381,2729,2.704653719311103
1913,NEW YORK,7332,9473,0.7739892325556845
1913,NORTH CAROLINA,267,2362,0.1130397967823878
1913,OHIO,10174,4997,2.036021612967781
1913,OKLAHOMA,103,1777,0.057962858750703436
1913,OREGON,5,722,0.006925207756232687
1913,PENNSYLVANIA,21821,8139,2.6810418970389485
1913,TENNESSEE,957,2257,0.4240141781125388
1913,TEXAS,40,4207,0.009507962918944617
1913,VERMONT,705,361,1.9529085872576177
1913,VIRGINIA,6149,2176,2.825827205882353
1913,WASHINGTON,490,1209,0.4052936311000827
1913,WEST VIRGINIA,415,1317,0.31511009870918755
1913,WISCONSIN,1485,2438,0.6091058244462675
1914,ALABAMA,4,2336,0.0017123287671232876
1914,ALASKA,1,NA,NA
1914,ARIZONA,5,253,0.019762845849802372
1914,ARKANSAS,914,1688,0.5414691943127962
1914,CALIFORNIA,5690,2934,1.9393319700068166
1914,CONNECTICUT,538,1233,0.43633414436334145
1914,ILLINOIS,4514,6109,0.7389098052054346
1914,INDIANA,752,2857,0.2632131606580329
1914,IOWA,9,2338,0.003849443969204448
1914,KANSAS,418,1662,0.25150421179302046
1914,KENTUCKY,323,2395,0.1348643006263048
1914,LOUISIANA,680,1740,0.39080459770114945
1914,MAINE,4,772,0.0051813471502590676
1914,MARYLAND,66,1389,0.047516198704103674
1914,MASSACHUSETTS,7597,3636,2.0893839383938393
1914,MICHIGAN,1571,3183,0.49355953502984606
1914,MISSISSIPPI,52,1832,0.028384279475982533
1914,MISSOURI,241,3467,0.06951254687049323
1914,MONTANA,52,452,0.11504424778761062
1914,NEW HAMPSHIRE,243,442,0.5497737556561086
1914,NEW JERSEY,8558,2789,3.068483327357476
1914,NEW YORK,4329,9585,0.4516431924882629
1914,NORTH CAROLINA,198,2421,0.08178438661710037
1914,OHIO,3994,5109,0.7817576825210413
1914,OKLAHOMA,27,1824,0.014802631578947368
1914,OREGON,440,736,0.5978260869565217
1914,PENNSYLVANIA,11246,8276,1.358869018849686
1914,RHODE ISLAND,138,589,0.23429541595925296
1914,SOUTH CAROLINA,18,1622,0.011097410604192354
1914,TENNESSEE,321,2289,0.1402359108781127
1914,TEXAS,347,4300,0.08069767441860465
1914,VERMONT,16,362,0.04419889502762431
1914,VIRGINIA,981,2241,0.43775100401606426
1914,WASHINGTON,691,1231,0.561332250203087
1914,WEST VIRGINIA,93,1362,0.06828193832599119
1914,WISCONSIN,1369,2490,0.5497991967871486
1915,ALABAMA,2,2345,8.528784648187633e-4
1915,ARIZONA,8,263,0.030418250950570342
1915,ARKANSAS,122,1702,0.07168037602820211
1915,CALIFORNIA,7996,3008,2.658244680851064
1915,COLORADO,46,868,0.052995391705069124
1915,CONNECTICUT,504,1258,0.40063593004769477
1915,DELAWARE,4,217,0.018433179723502304
1915,FLORIDA,30,922,0.03253796095444685
1915,GEORGIA,5,2810,0.0017793594306049821
1915,ILLINOIS,20940,6194,3.380690991281886
1915,INDIANA,1030,2873,0.35851026801253044
1915,IOWA,30,2366,0.01267962806424345
1915,KANSAS,223,1687,0.13218731475992887
1915,KENTUCKY,417,2401,0.17367763431903374
1915,LOUISIANA,352,1755,0.20056980056980056
1915,MAINE,8,774,0.0103359173126615
1915,MARYLAND,20,1401,0.014275517487508922
1915,MASSACHUSETTS,14903,3705,4.0224021592442645
1915,MICHIGAN,1031,3263,0.31596690162427216
1915,MISSOURI,39,3492,0.011168384879725086
1915,MONTANA,28,469,0.05970149253731343
1915,NEBRASKA,341,1272,0.26808176100628933
1915,NEW HAMPSHIRE,33,443,0.0744920993227991
1915,NEW JERSEY,6303,2850,2.211578947368421
1915,NEW YORK,7646,9700,0.7882474226804124
1915,NORTH CAROLINA,1,2473,4.043671653861706e-4
1915,OHIO,7602,5251,1.447724243001333
1915,OKLAHOMA,1,1860,5.376344086021505e-4
1915,OREGON,202,745,0.27114093959731544
1915,PENNSYLVANIA,20804,8362,2.4879215498684526
1915,RHODE ISLAND,2,597,0.0033500837520938024
1915,SOUTH CAROLINA,2,1635,0.0012232415902140672
1915,TENNESSEE,51,2294,0.022231909328683522
1915,TEXAS,11,4368,0.0025183150183150185
1915,UTAH,53,430,0.12325581395348838
1915,VERMONT,5,360,0.013888888888888888
1915,VIRGINIA,424,2294,0.18482999128160418
1915,WASHINGTON,246,1239,0.19854721549636803
1915,WEST VIRGINIA,63,1387,0.04542177361211247
1915,WISCONSIN,2051,2535,0.8090729783037476
1916,ALABAMA,66,2359,0.027977956761339552
1916,ARKANSAS,26,1719,0.015125072716695753
1916,CALIFORNIA,1741,3071,0.5669163139042657
1916,COLORADO,336,892,0.37668161434977576
1916,CONNECTICUT,3974,1294,3.071097372488408
1916,DELAWARE,1088,219,4.968036529680365
1916,FLORIDA,1,924,0.0010822510822510823
1916,ILLINOIS,10638,6274,1.6955690149824674
1916,INDIANA,1744,2897,0.6020020711080428
1916,IOWA,176,2376,0.07407407407407407
1916,KANSAS,896,1727,0.5188187608569774
1916,KENTUCKY,515,2411,0.213604313562837
1916,LOUISIANA,3924,1799,2.1812117843246246
1916,MAINE,19,775,0.024516129032258065
1916,MARYLAND,951,1415,0.6720848056537102
1916,MASSACHUSETTS,16513,3726,4.431830381105743
1916,MICHIGAN,3947,3353,1.1771547867581271
1916,MINNESOTA,42,2308,0.018197573656845753
1916,MISSOURI,3219,3527,0.912673660334562
1916,MONTANA,1063,487,2.182751540041068
1916,NEBRASKA,337,1275,0.2643137254901961
1916,NEW HAMPSHIRE,1703,445,3.8269662921348315
1916,NEW JERSEY,11478,2918,3.9335161069225495
1916,NEW YORK,8889,9848,0.9026198212835094
1916,NORTH CAROLINA,49,2513,0.019498607242339833
1916,OHIO,18101,5366,3.373276183376817
1916,OKLAHOMA,248,1907,0.13004719454640798
1916,OREGON,826,756,1.0925925925925926
1916,PENNSYLVANIA,27600,8463,3.2612548741581
1916,RHODE ISLAND,130,598,0.21739130434782608
1916,SOUTH CAROLINA,124,1650,0.07515151515151515
1916,TENNESSEE,1230,2304,0.5338541666666666
1916,TEXAS,34,4444,0.00765076507650765
1916,UTAH,4530,436,10.389908256880734
1916,VERMONT,239,360,0.6638888888888889
1916,VIRGINIA,9358,2316,4.0405872193436965
1916,WASHINGTON,4309,1255,3.4334661354581675
1916,WEST VIRGINIA,1309,1414,0.9257425742574258
1916,WISCONSIN,6580,2562,2.568306010928962
1917,ALABAMA,5134,2361,2.1745023295213892
1917,ARKANSAS,767,1737,0.4415659182498561
