Year,state,TotalCount,pop1000,epi_rate,division,region
1906,CALIFORNIA,224,1976,11.336032388663968,Pacific,West
1906,CONNECTICUT,23,1033,2.2265246853823815,New England,Northeast
1906,FLORIDA,4,628,0.6369426751592357,South Atlantic,South
1906,ILLINOIS,187,5309,3.5223205876812957,East North Central,North Central
1906,INDIANA,20,2663,0.7510326699211416,East North Central,North Central
1906,KENTUCKY,2,2234,0.08952551477170993,East South Central,South
1906,MAINE,26,729,3.5665294924554183,New England,Northeast
1906,MASSACHUSETTS,282,3107,9.076279369166398,New England,Northeast
1906,MICHIGAN,320,2626,12.185833968012187,East North Central,North Central
1906,MISSOURI,274,3223,8.501396214706796,West North Central,North Central
1906,NEW HAMPSHIRE,3,415,0.7228915662650602,New England,Northeast
1906,NEW JERSEY,12,2239,0.5359535506922734,Middle Atlantic,Northeast
1906,NEW YORK,49,8289,0.5911448908191579,Middle Atlantic,Northeast
1906,OHIO,466,4587,10.159145410943973,East North Central,North Central
1906,PENNSYLVANIA,409,7110,5.752461322081575,Middle Atlantic,Northeast
1906,RHODE ISLAND,2,492,0.40650406504065045,New England,Northeast
1906,TENNESSEE,4,2136,0.18726591760299627,East South Central,South
1906,TEXAS,1,3546,0.028200789622109423,West South Central,South
1906,VERMONT,1,355,0.28169014084507044,New England,Northeast
1906,WASHINGTON,10,904,1.1061946902654867,Pacific,West
1906,WISCONSIN,26,2250,1.1555555555555554,East North Central,North Central
1907,CALIFORNIA,1236,2054,60.17526777020448,Pacific,West
1907,CONNECTICUT,106,1057,10.028382213812677,New England,Northeast
1907,FLORIDA,24,645,3.7209302325581395,South Atlantic,South
1907,GEORGIA,136,2505,5.429141716566866,South Atlantic,South
1907,ILLINOIS,3422,5384,63.55869242199108,East North Central,North Central
1907,INDIANA,10446,2679,389.9216125419933,East North Central,North Central
1907,IOWA,473,2217,21.33513757329725,West North Central,North Central
1907,KANSAS,1423,1612,88.27543424317618,West North Central,North Central
1907,KENTUCKY,451,2249,20.0533570475767,East South Central,South
1907,LOUISIANA,17,1579,1.0766307789740341,West South Central,South
1907,MAINE,139,731,19.015047879616965,New England,Northeast
1907,MASSACHUSETTS,4514,3183,141.81589695256048,New England,Northeast
1907,MICHIGAN,1235,2693,45.859636093575936,East North Central,North Central
1907,MINNESOTA,61,1995,3.0576441102756893,West North Central,North Central
1907,MISSISSIPPI,9,1728,0.5208333333333333,East South Central,South
1907,MISSOURI,733,3242,22.609500308451576,West North Central,North Central
1907,MONTANA,39,332,11.74698795180723,Mountain,West
1907,NEBRASKA,309,1149,26.89295039164491,West North Central,North Central
1907,NEW HAMPSHIRE,985,423,232.86052009456264,New England,Northeast
1907,NEW JERSEY,475,2314,20.527225583405357,Middle Atlantic,Northeast
1907,NEW YORK,1178,8499,13.86045417107895,Middle Atlantic,Northeast
1907,NORTH CAROLINA,273,2105,12.969121140142517,South Atlantic,South
1907,OHIO,5015,4630,108.31533477321815,East North Central,North Central
1907,OKLAHOMA,1,1414,0.07072135785007072,West South Central,South
1907,OREGON,2,580,0.3448275862068966,Pacific,West
1907,PENNSYLVANIA,4951,7253,68.2614090721081,Middle Atlantic,Northeast
1907,RHODE ISLAND,3,505,0.594059405940594,New England,Northeast
1907,SOUTH CAROLINA,2,1468,0.13623978201634876,South Atlantic,South
1907,SOUTH DAKOTA,1,498,0.2008032128514056,West North Central,North Central
1907,TENNESSEE,938,2136,43.91385767790263,East South Central,South
1907,TEXAS,108,3636,2.9702970297029703,West South Central,South
1907,VERMONT,5,355,1.4084507042253522,New England,Northeast
1907,VIRGINIA,430,1952,22.028688524590166,South Atlantic,South
1907,WASHINGTON,802,967,82.93691830403309,Pacific,West
1907,WEST VIRGINIA,27,1149,2.3498694516971277,South Atlantic,South
1907,WISCONSIN,230,2268,10.141093474426807,East North Central,North Central
1908,CALIFORNIA,2273,2161,105.1827857473392,Pacific,West
1908,CONNECTICUT,365,1077,33.89043639740019,New England,Northeast
1908,FLORIDA,34,684,4.970760233918129,South Atlantic,South
1908,GEORGIA,206,2543,8.100668501769563,South Atlantic,South
1908,ILLINOIS,7054,5474,128.8637194008038,East North Central,North Central
1908,INDIANA,1482,2677,55.360478147179684,East North Central,North Central
1908,IOWA,597,2220,26.891891891891888,West North Central,North Central
1908,KANSAS,168,1629,10.313075506445673,West North Central,North Central
1908,KENTUCKY,225,2263,9.942554131683606,East South Central,South
1908,MAINE,28,735,3.8095238095238098,New England,Northeast
1908,MASSACHUSETTS,15262,3251,469.4555521378038,New England,Northeast
1908,MICHIGAN,1973,2722,72.4834680382072,East North Central,North Central
1908,MINNESOTA,40,2020,1.9801980198019802,West North Central,North Central
1908,MISSOURI,330,3260,10.122699386503067,West North Central,North Central
1908,MONTANA,48,346,13.872832369942195,Mountain,West
1908,NEBRASKA,158,1161,13.608957795004306,West North Central,North Central
1908,NEW HAMPSHIRE,68,428,15.887850467289718,New England,Northeast
1908,NEW JERSEY,2787,2403,115.98002496878901,Middle Atlantic,Northeast
1908,NEW YORK,1424,8714,16.341519394078492,Middle Atlantic,Northeast
1908,NORTH CAROLINA,62,2142,2.8944911297852474,South Atlantic,South
1908,OHIO,4611,4677,98.58883899935856,East North Central,North Central
1908,OREGON,11,610,1.8032786885245904,Pacific,West
1908,PENNSYLVANIA,13249,7398,179.08894295755607,Middle Atlantic,Northeast
1908,RHODE ISLAND,6,519,1.1560693641618496,New England,Northeast
1908,SOUTH CAROLINA,43,1485,2.8956228956228958,South Atlantic,South
1908,SOUTH DAKOTA,2,527,0.3795066413662239,West North Central,North Central
1908,TENNESSEE,539,2164,24.907578558225506,East South Central,South
1908,TEXAS,161,3727,4.319828280118057,West South Central,South
1908,VERMONT,8,354,2.2598870056497176,New England,Northeast
1908,VIRGINIA,328,1994,16.449348044132396,South Atlantic,South
1908,WASHINGTON,200,1028,19.45525291828794,Pacific,West
1908,WISCONSIN,729,2292,31.80628272251309,East North Central,North Central
1909,ALABAMA,1,2108,0.04743833017077799,East South Central,South
1909,CALIFORNIA,2552,2282,111.83172655565295,Pacific,West
1909,CONNECTICUT,122,1097,11.121239744758432,New England,Northeast
1909,FLORIDA,3,724,0.4143646408839779,South Atlantic,South
1909,GEORGIA,2,2580,0.07751937984496124,South Atlantic,South
1909,ILLINOIS,9680,5567,173.88180348482126,East North Central,North Central
1909,INDIANA,2370,2678,88.49887976101569,East North Central,North Central
1909,IOWA,55,2223,2.4741340530814218,West North Central,North Central
1909,KANSAS,834,1658,50.3015681544029,West North Central,North Central
1909,KENTUCKY,20,2278,0.877963125548727,East South Central,South
1909,LOUISIANA,78,1634,4.773561811505508,West South Central,South
1909,MAINE,145,740,19.594594594594593,New England,Northeast
1909,MARYLAND,13,1289,1.008533747090768,South Atlantic,South
1909,MASSACHUSETTS,9254,3316,279.0711700844391,New England,Northeast
1909,MICHIGAN,713,2771,25.730783110790327,East North Central,North Central
1909,MISSISSIPPI,1,1777,0.056274620146314014,East South Central,South
1909,MISSOURI,332,3279,10.125038121378468,West North Central,North Central
1909,MONTANA,22,363,6.0606060606060606,Mountain,West
1909,NEBRASKA,88,1177,7.476635514018691,West North Central,North Central
1909,NEW HAMPSHIRE,1871,431,434.1067285382831,New England,Northeast
1909,NEW JERSEY,2046,2487,82.26779252110977,Middle Atlantic,Northeast
1909,NEW YORK,1422,8935,15.914941242305538,Middle Atlantic,Northeast
1909,NORTH CAROLINA,282,2174,12.97148114075437,South Atlantic,South
1909,OHIO,3838,4701,81.64220378642842,East North Central,North Central
1909,PENNSYLVANIA,10787,7546,142.94990723562154,Middle Atlantic,Northeast
1909,RHODE ISLAND,1,532,0.18796992481203006,New England,Northeast
1909,SOUTH CAROLINA,58,1502,3.861517976031957,South Atlantic,South
1909,TENNESSEE,249,2177,11.437758383096003,East South Central,South
1909,TEXAS,10,3821,0.26171159382360637,West South Central,South
1909,VERMONT,16,356,4.49438202247191,New England,Northeast
1909,VIRGINIA,50,2038,2.4533856722276743,South Atlantic,South
1909,WASHINGTON,909,1091,83.31805682859762,Pacific,West
1909,WEST VIRGINIA,163,1203,13.549459684123025,South Atlantic,South
1909,WISCONSIN,1815,2317,78.33405265429435,East North Central,North Central
1910,ALABAMA,606,2150,28.186046511627904,East South Central,South
1910,ARKANSAS,1,1583,0.06317119393556538,West South Central,South
1910,CALIFORNIA,8758,2406,364.00665004156275,Pacific,West
1910,COLORADO,13,804,1.616915422885572,Mountain,West
1910,CONNECTICUT,302,1122,26.916221033868094,New England,Northeast
1910,FLORIDA,25,756,3.3068783068783065,South Atlantic,South
1910,ILLINOIS,11582,5668,204.34015525758645,East North Central,North Central
1910,INDIANA,9668,2713,356.35827497235533,East North Central,North Central
1910,IOWA,1,2228,0.04488330341113106,West North Central,North Central
1910,KANSAS,1159,1692,68.49881796690308,West North Central,North Central
